"LSID","Species.Name","Taxon.Concept","Taxon.Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular.Name","Number.of.records","Invasive","source","slope"
"Cuculus canorus|NHMSYS0000530324|Cuckoo|Animalia|Cuculidae","Cuculus canorus","Linnaeus, 1758","SPECIES","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus",9,"NA","Biodiversity Action Plan UK list of priority species","North"
"Passer domesticus|NHMSYS0000530537|House Sparrow|Animalia|Passeridae","Passer domesticus","(Linnaeus, 1758)","SPECIES","Animalia","Chordata","Aves","Passeriformes","Passeridae","Passer","Passer domesticus",5,"NA","Biodiversity Action Plan UK list of priority species","North"
"Sciurus vulgaris|NBNSYS0000005108|Eurasian Red Squirrel|Animalia|Sciuridae","Sciurus vulgaris","Linnaeus, 1758","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris",4,"NA","Biodiversity Action Plan UK list of priority species","North"
"Turdus torquatus|NHMSYS0000530681|Ring Ouzel|Animalia|Turdidae","Turdus torquatus","Linnaeus, 1758","SPECIES","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","Turdus torquatus",1,"NA","Biodiversity Action Plan UK list of priority species","North"
"Sciurus vulgaris|NBNSYS0000005108|Eurasian Red Squirrel|Animalia|Sciuridae","Sciurus vulgaris","Linnaeus, 1758","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris",4,"NA","Red List GB post 2001 - Endangered - based on IUCN guidelines","North"
"Hyacinthoides non-scripta|NBNSYS0000002185|Bluebell|Plantae|Asparagaceae","Hyacinthoides non-scripta","(L.) Chouard ex Rothm.","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Asparagaceae","Hyacinthoides","Hyacinthoides non-scripta",3,"NA","RSPB Priority Species","North"
"Sciurus vulgaris|NBNSYS0000005108|Eurasian Red Squirrel|Animalia|Sciuridae","Sciurus vulgaris","Linnaeus, 1758","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurus","Sciurus vulgaris",4,"NA","RSPB Priority Species","North"
"Corvus cornix|NHMSYS0000530314|Hooded Crow|Animalia|Corvidae","Corvus cornix","Linnaeus, 1758","SPECIES","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus cornix",5,"NA","Scottish Biodiversity List","North"
"Cuculus canorus|NHMSYS0000530324|Cuckoo|Animalia|Cuculidae","Cuculus canorus","Linnaeus, 1758","SPECIES","Animalia","Chordata","Aves","Cuculiformes","Cuculidae","Cuculus","Cuculus canorus",9,"NA","Scottish Biodiversity List","North"
"Falco tinnunculus|NHMSYS0000530358|Kestrel|Animalia|Falconidae","Falco tinnunculus","Linnaeus, 1758","SPECIES","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco tinnunculus",5,"NA","Scottish Biodiversity List","North"
"Gavia immer|NBNSYS0000000220|Great Northern Diver|Animalia|Gaviidae","Gavia immer","(Brünnich, 1764)","SPECIES","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia immer",3,"NA","Scottish Biodiversity List","North"
"Larus argentatus|NBNSYS0000000038|Herring Gull|Animalia|Laridae","Larus argentatus","Pontoppidan, 1763","SPECIES","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus argentatus",5,"NA","Scottish Biodiversity List","North"
"Linaria cannabina|NHMSYS0021004282|Linnet|Animalia|Fringillidae","Linaria cannabina","(Linnaeus, 1758)","SPECIES","Animalia","Chordata","Aves","Passeriformes","Fringillidae","Linaria","Linaria cannabina",1,"NA","Scottish Biodiversity List","North"
